refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),color_text,eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,120,361,2,1,3,1.0,119.0,1.0,0.4663438,1.0,0.002485509759604288
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,121,361,2,1,3,1.0,120.0,1.0,0.2933025,1.0,0.002342219040591588
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,122,361,1,0,3,1.0,121.0,1.0,0.236103,0.0,0.003996862405967041
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,123,361,1,0,3,1.0,122.0,0.0,0.4403547,1.0,0.004776206491663548
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,124,361,1,0,3,1.0,123.0,1.0,0.3320268,0.0,0.004682600487639664
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,125,361,2,0,3,1.0,124.0,0.0,0.3868408,1.0,0.0022071890938715104
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,126,361,2,1,3,1.0,125.0,1.0,0.4714457,1.0,0.002079943682327365
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,127,361,1,0,3,1.0,126.0,0.0,0.390058,1.0,0.0052730639366930995
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,128,361,2,0,3,1.0,127.0,0.0,0.3887802,1.0,0.0019992154476111473
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,129,361,2,1,3,1.0,128.0,1.0,0.3997127,1.0,0.0019216204938273754
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,130,361,1,0,3,1.0,129.0,0.0,0.5346393,1.0,0.005068402076484144
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,131,361,2,1,3,1.0,130.0,1.0,0.533532,1.0,0.0018839598072570712
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,132,361,1,1,3,1.0,131.0,1.0,0.3882058,1.0,0.004969069506589162
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,133,361,1,1,3,1.0,132.0,1.0,0.2959976,1.0,0.004776206491663548
